name,title,forbes_rank,networth,total_donations,donor_rank,notes,gift,source
Bill Gates,Co-founder and Chairman of Microsoft,1,59 B,412258,6,According to CRP figures.,Wealthiest philantrophist in the world. $200-million for vaccines.,http://philanthropy.com/blogs/philanthropytoday/gates-supported-charity-buys-vaccines/12576
Warren Buffett,Investor and businessman. Chairman and CEO of Berkshire Hathaway,2,39 B,$193700,10,All figures as of May 29 2012,$10.3 billion to the Gates Foundation,http://www.cnbc.com/id/43676962/Warren_Buffett_s_Stock_Donations_to_Gates_Foundation_Top_10_Billion
Larry Ellison,Businessman. Co-founder and CEO of Oracle.,3,33 B,444274,7,,"Promises to give at least half his wealth in ""the Giving Pledge"" ",http://news.discovery.com/human/billionaire-pledge-income.html
Charles G. Koch,Businessman. Chairman and CEO of Koch Industries,4,25 B,"$390,700",8,Koch money is based on individual donations. Does not include spouses. Does include PAC (ex: KochPAC $),Given $120 thousand to the Smithsonian's Astrophysical Observatory,IRW database/990 forms
David H. Koch,Businessman. Executive vice president of Koch Industries.,5,25 B,4785700,4,,Pledged to give $100 million to New York City Center Theatre.,990 forms/ database
Christy Walton,One of the heirs to the Walton (Walmart) family fortune,6,24.5 B,$291942,9,Figures from Political Moneyline,"$4 million to International Community Foundation, fostering health, education and environment grants in Mexico and Latin America.",http://www.milliondollarlist.org/donors/christy-walton-and-her-late-husband-john
George Soros,Financier and investor. Chairman of Soros ,7,22 B,33467371,1,,$100 million grant Human Rights Watch,http://philanthropy.com/article/Soros-Pledges-100-Million-to/124325/
Sheldon Adelson,"Las Vegas casino magnate, Las Vegas Sands Corporation",8,21.5 B,21079413,2,,$100 million to support Birthright Israel.,http://www.israelnationalnews.com/News/News.aspx/150285#.T-NP0LV4z1V
Jim Walton,"Chairman of Arvest Bank, one of the heirs to the Walton (Walmart) family fortune",9,21.1 B,$2534568,5,,"Though it can't be directly attributed to Jim Walton, the Walton Family Foundation gave $20.99 million to Conservation International.",http://www.milliondollarlist.org/donors/walton-family-foundation    http://arkansasnews.com/2008/09/15/billionaire-jim-walton-gives-75000-to-anti-lottery-campaign/
Alice Walton,One of the heirs to the Walton (Walmart) family fortune,10,20.9 B,"$8,187435",3,,Crystal Bridges American Art Museum - $1.2 billion donation from the Walton family and Walton Family Foundation,http://www.artnews.com/2012/01/12/american-art-alice-walton%E2%80%99s-way/
